Format Version,1.22,Take Name,Calibration_diabolo_green_2020-06-18,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 01:58:15 +0900,Total Frames in Take,223,Total Exported Frames,223,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green
,,"1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
62,0.516667,0.022445,0.904747,0.055508,-0.421720,-0.007911,0.045971,0.042990
63,0.525000,0.022438,0.904752,0.055360,-0.421728,-0.007913,0.045972,0.042989
64,0.533333,0.022412,0.904749,0.055360,-0.421737,-0.007912,0.045969,0.042987
65,0.541667,0.022462,0.904734,0.055348,-0.421769,-0.007910,0.045963,0.042986
66,0.550000,0.022454,0.904750,0.055424,-0.421724,-0.007910,0.045960,0.042988
67,0.558333,0.022475,0.904766,0.055422,-0.421690,-0.007911,0.045962,0.042988
68,0.566667,0.022469,0.904740,0.055389,-0.421751,-0.007909,0.045962,0.042989
69,0.575000,0.022468,0.904733,0.055462,-0.421754,-0.007909,0.045968,0.042991
70,0.583333,0.022434,0.904743,0.055476,-0.421735,-0.007912,0.045975,0.042989
71,0.591667,0.022375,0.904758,0.055313,-0.421725,-0.007914,0.045975,0.042988
72,0.600000,0.022497,0.904742,0.055331,-0.421751,-0.007915,0.045970,0.042985
73,0.608333,0.022651,0.904713,0.055468,-0.421788,-0.007913,0.045965,0.042989
74,0.616667,0.022427,0.904708,0.055514,-0.421805,-0.007912,0.045962,0.042993
75,0.625000,0.022407,0.904738,0.055504,-0.421742,-0.007910,0.045965,0.042993
76,0.633333,0.022389,0.904752,0.055325,-0.421736,-0.007909,0.045969,0.042987
77,0.641667,0.022351,0.904747,0.055212,-0.421764,-0.007912,0.045967,0.042985
78,0.650000,0.022424,0.904749,0.055342,-0.421739,-0.007914,0.045969,0.042987
79,0.658333,0.022456,0.904747,0.055286,-0.421749,-0.007912,0.045965,0.042991
80,0.666667,0.022514,0.904738,0.055387,-0.421751,-0.007913,0.045963,0.042992
81,0.675000,0.022408,0.904743,0.055439,-0.421740,-0.007916,0.045965,0.042990
82,0.683333,0.022417,0.904738,0.055514,-0.421740,-0.007914,0.045970,0.042989
83,0.691667,0.022529,0.904728,0.055504,-0.421757,-0.007913,0.045974,0.042988
84,0.700000,0.022446,0.904754,0.055329,-0.421729,-0.007915,0.045969,0.042986
85,0.708333,0.022303,0.904762,0.055211,-0.421736,-0.007916,0.045971,0.042990
86,0.716667,0.022360,0.904742,0.055434,-0.421746,-0.007913,0.045969,0.042992
87,0.725000,0.022425,0.904735,0.055610,-0.421734,-0.007911,0.045961,0.042991
88,0.733333,0.022378,0.904729,0.055633,-0.421745,-0.007910,0.045957,0.042989
89,0.741667,0.022369,0.904719,0.055545,-0.421780,-0.007910,0.045956,0.042988
90,0.750000,0.022346,0.904735,0.055399,-0.421765,-0.007910,0.045959,0.042987
91,0.758333,0.022393,0.904773,0.055266,-0.421700,-0.007913,0.045968,0.042989
92,0.766667,0.022424,0.904765,0.055460,-0.421689,-0.007916,0.045971,0.042990
93,0.775000,0.022401,0.904748,0.055455,-0.421728,-0.007917,0.045972,0.042990
94,0.783333,0.022354,0.904764,0.055225,-0.421725,-0.007918,0.045973,0.042988
95,0.791667,0.022321,0.904771,0.055123,-0.421725,-0.007918,0.045970,0.042987
96,0.800000,0.022282,0.904767,0.055191,-0.421728,-0.007914,0.045966,0.042989
97,0.808333,0.022360,0.904751,0.055355,-0.421736,-0.007911,0.045961,0.042990
98,0.816667,0.022421,0.904735,0.055553,-0.421740,-0.007909,0.045962,0.042991
99,0.825000,0.022389,0.904734,0.055557,-0.421745,-0.007907,0.045964,0.042988
100,0.833333,0.022356,0.904741,0.055408,-0.421751,-0.007910,0.045968,0.042988
101,0.841667,0.022377,0.904748,0.055401,-0.421735,-0.007915,0.045968,0.042988
102,0.850000,0.022447,0.904739,0.055545,-0.421733,-0.007916,0.045962,0.042990
103,0.858333,0.022538,0.904717,0.055620,-0.421764,-0.007915,0.045966,0.042992
104,0.866667,0.022458,0.904735,0.055472,-0.421751,-0.007913,0.045971,0.042990
105,0.875000,0.022337,0.904768,0.055408,-0.421695,-0.007912,0.045972,0.042988
106,0.883333,0.022474,0.904758,0.055428,-0.421705,-0.007914,0.045971,0.042986
107,0.891667,0.022478,0.904759,0.055415,-0.421704,-0.007914,0.045969,0.042986
108,0.900000,0.022418,0.904748,0.055489,-0.421722,-0.007911,0.045965,0.042988
109,0.908333,0.022455,0.904735,0.055504,-0.421745,-0.007910,0.045963,0.042990
110,0.916667,0.022367,0.904752,0.055475,-0.421718,-0.007910,0.045962,0.042991
111,0.925000,0.022325,0.904768,0.055324,-0.421707,-0.007909,0.045963,0.042991
112,0.933333,0.022413,0.904754,0.055362,-0.421726,-0.007908,0.045965,0.042990
113,0.941667,0.022486,0.904737,0.055517,-0.421738,-0.007910,0.045963,0.042990
114,0.950000,0.022470,0.904740,0.055500,-0.421736,-0.007914,0.045969,0.042992
115,0.958333,0.022557,0.904739,0.055465,-0.421738,-0.007916,0.045971,0.042990
116,0.966667,0.022570,0.904741,0.055390,-0.421742,-0.007916,0.045971,0.042989
117,0.975000,0.022492,0.904740,0.055382,-0.421750,-0.007916,0.045973,0.042989
118,0.983333,0.022491,0.904730,0.055469,-0.421758,-0.007915,0.045970,0.042987
119,0.991667,0.022451,0.904719,0.055628,-0.421764,-0.007913,0.045967,0.042989
120,1.000000,0.022461,0.904725,0.055606,-0.421754,-0.007910,0.045966,0.042989
