,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,
1914,1914,15.95,-0.520213381064,0.135356468042,0.215895203479,0.815135526054,0.0935666849725,-0.466091325245,1.18653610135,0.0284502545708,0.795564867382,-0.604360424074,0.0318685207763,0.170922980584,0.204340087122,0.653459686284,0.764887194106,0.0228013619692,-0.041317657464,0.642433287873,0.175519105304,0.0863489757835,1.24061710591,110.177181613
1915,1915,15.958333,-0.524165012846,0.134365186624,0.212215550277,0.813733123421,0.0936990321612,-0.474465182707,1.1902454578,-0.0417034393213,-0.44539707287,0.894222009589,-0.0157882296225,0.170744596513,0.213106434706,0.665391323308,0.765724792978,0.0223997366252,-0.0413106071443,0.641449317527,0.175414804502,0.0864948904274,1.24067033489,110.274313424
1916,1916,15.966667,-0.528297269615,0.133341276256,0.207772766562,0.812374652755,0.0937860378844,-0.48363829539,1.19425004526,-0.0461993473461,-0.00258519266555,0.998923361,0.00332504619763,0.170255274881,0.221626114323,0.67827787926,0.766451732192,0.0220688114887,-0.0411960575883,0.640599402606,0.175331451538,0.0866818790152,1.2409106552,110.489583065
1917,1917,15.975,-0.532477410503,0.134192563623,0.202572597413,0.810817184049,0.0936885563168,-0.493763207125,1.19820795038,-0.0388694581171,0.441422371916,0.896114530982,0.0247831023019,0.169890272968,0.230629522366,0.691545464489,0.767268338373,0.0216989915957,-0.0410143255947,0.639645429742,0.175274525537,0.0868903516784,1.24133191336,110.662414321
1918,1918,15.983333,-0.537600320064,0.134423768083,0.197491301112,0.808649078666,0.093414970611,-0.504466240823,1.20241959081,-0.02490532843,0.793895087196,0.606068025299,0.0423304128513,0.169758823754,0.238947898817,0.703743009834,0.767922987413,0.0208023763813,-0.0399614364462,0.638955890603,0.175239572429,0.0871014797777,1.24223081897,110.589866176
1919,1919,15.991667,-0.544515752505,0.134911654495,0.192040900181,0.805246380565,0.0929949900845,-0.515908569415,1.20681914248,-0.00430594103633,0.980612306993,0.189808394205,0.0485153144396,0.169467560256,0.245413843302,0.715749047537,0.768544827098,0.0199524231923,-0.0391963257042,0.638282380769,0.175192203562,0.087254392657,1.24336832966,110.996725314
1920,1920,16.0,-0.553536575928,0.135336690793,0.185550460344,0.800532488973,0.0924929328821,-0.528224155067,1.21157258966,0.016994444339,0.962286194587,-0.26769414568,0.0453465868387,0.169020437372,0.249952840373,0.728097225426,0.769061967996,0.0188698492283,-0.0379808218391,0.637765690002,0.175184758839,0.0874293811141,1.24488947435,111.019710484
1921,1921,16.008333,-0.56351875397,0.135567903255,0.178376140511,0.795141440265,0.0918777915402,-0.541354053271,1.21672724729,0.0307244583675,0.741735403604,-0.669192750027,0.0326444789976,0.168684655637,0.252613745221,0.741924257,0.769460053338,0.0174591710175,-0.0361267873498,0.637433336828,0.175255095036,0.0876592976692,1.24680878499,111.033512962
1922,1922,16.016667,-0.57347538279,0.136537313138,0.170547013904,0.789555104792,0.0910902076105,-0.55537927709,1.22218188419,-0.0441318271625,-0.365131364644,0.929793196807,-0.0146996447219,0.168054506959,0.25517802507,0.75619862621,0.769719552298,0.0164713427899,-0.0346892390566,0.637226146961,0.175295943945,0.0879583311247,1.24884400526,111.182924873
1923,1923,16.025,-0.582964247868,0.137953695499,0.162058964082,0.784129042802,0.0901535649845,-0.570197411381,1.22799985274,-0.0459744102477,0.0889118712885,0.99496443831,0.00517679870042,0.167203530757,0.257299331075,0.771402396958,0.769625288231,0.0153930007391,-0.03274256508,0.637469917468,0.175386912095,0.0883631986978,1.25116711611,111.513506212
