,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3
,,"F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","C5590","C5590","C5590","C56F0","C56F0","C56F0","C54F0","C54F0","C54F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
17,0.141667,,,,,,,,0.646742,0.664374,-0.259919,-0.269768,-0.009244,0.069756,0.050289,,,,,,,,0.027172,0.071095,0.025084,-0.022338,0.070191,0.019486,-0.032569,0.067982,0.106301
18,0.150000,,,,,,,,0.646682,0.664440,-0.259990,-0.269678,-0.009239,0.069759,0.050288,,,,,,,,0.027170,0.071103,0.025083,-0.022324,0.070187,0.019483,-0.032565,0.067988,0.106301
19,0.158333,,,,,,,,0.646799,0.664327,-0.259893,-0.269771,-0.009241,0.069756,0.050289,,,,,,,,0.027177,0.071088,0.025085,-0.022335,0.070193,0.019484,-0.032568,0.067986,0.106300
20,0.166667,,,,,,,,0.646746,0.664380,-0.259942,-0.269720,-0.009241,0.069758,0.050288,,,,,,,,0.027174,0.071096,0.025086,-0.022333,0.070190,0.019485,-0.032568,0.067988,0.106298
21,0.175000,,,,,,,,0.646685,0.664446,-0.259990,-0.269658,-0.009244,0.069770,0.050294,,,,,,,,0.027168,0.071115,0.025094,-0.022334,0.070197,0.019491,-0.032570,0.068000,0.106300
22,0.183333,,,,,,,,0.646784,0.664349,-0.259830,-0.269812,-0.009246,0.069769,0.050291,,,,,,,,0.027168,0.071104,0.025090,-0.022335,0.070212,0.019488,-0.032573,0.067990,0.106297
23,0.191667,,,,,,,,0.646741,0.664391,-0.259931,-0.269714,-0.009237,0.069755,0.050288,,,,,,,,0.027179,0.071093,0.025085,-0.022327,0.070186,0.019480,-0.032565,0.067984,0.106301
24,0.200000,,,,,,,,0.646636,0.664488,-0.260051,-0.269613,-0.009235,0.069759,0.050288,,,,,,,,0.027173,0.071108,0.025089,-0.022323,0.070181,0.019478,-0.032558,0.067990,0.106300
25,0.208333,,,,,,,,0.646660,0.664457,-0.259917,-0.269759,-0.009234,0.069761,0.050293,,,,,,,,0.027177,0.071109,0.025094,-0.022325,0.070197,0.019488,-0.032556,0.067977,0.106300
26,0.216667,,,,,,,,0.646694,0.664431,-0.260011,-0.269653,-0.009229,0.069753,0.050288,,,,,,,,0.027182,0.071094,0.025084,-0.022317,0.070177,0.019481,-0.032555,0.067985,0.106300
