Format Version,1.22,Take Name,Take_stick_calib 2020-04-05 09.50.57 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,15 Jan 1970 19:49:59 +0900,Total Frames in Take,6692,Total Exported Frames,6692,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left
,,"F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.291667,-62.753120,4.943588,5.419067,-0.030994,-0.038441,1.023576,47.790390,15.471412,12.034802,-0.060562,0.283859,1.063828
36,0.300000,-62.774338,5.054469,5.336771,-0.033136,-0.037058,1.023222,47.717442,15.375777,11.954548,-0.061894,0.285762,1.063158
37,0.308333,-62.794945,5.151462,5.299335,-0.035259,-0.035662,1.022881,47.659958,15.260531,11.866154,-0.063210,0.287629,1.062530
38,0.316667,-62.850609,5.240565,5.248088,-0.037364,-0.034254,1.022593,47.658291,15.192412,11.787792,-0.064489,0.289445,1.061971
39,0.325000,-62.917519,5.314248,5.192996,-0.039453,-0.032868,1.022385,47.652176,15.007710,11.753995,-0.065786,0.291216,1.061453
40,0.333333,-63.002636,5.439373,5.138142,-0.041514,-0.031513,1.022245,47.661732,14.879492,11.662189,-0.067032,0.292924,1.061035
41,0.341667,-63.125519,5.494125,5.148455,-0.043541,-0.030186,1.022189,47.657906,14.769233,11.576160,-0.068259,0.294555,1.060656
42,0.350000,-63.128750,5.626223,5.038257,-0.045577,-0.029001,1.022195,47.670303,14.667704,11.478000,-0.069478,0.296137,1.060324
43,0.358333,-63.187481,5.811639,5.044451,-0.047575,-0.027868,1.022298,47.671543,14.551808,11.347754,-0.070726,0.297686,1.060033
44,0.366667,-63.170925,5.967216,5.013129,-0.049562,-0.026896,1.022530,47.625481,14.482926,11.246634,-0.071932,0.299218,1.059801
45,0.375000,-63.080036,6.220461,4.935205,-0.051529,-0.026043,1.022885,47.520157,14.435489,11.168407,-0.073173,0.300753,1.059629
46,0.383333,-62.938103,6.486598,4.813046,-0.053458,-0.025293,1.023401,47.370861,14.424340,11.107076,-0.074381,0.302258,1.059551
47,0.391667,-62.791084,6.733250,4.732094,-0.055380,-0.024594,1.024076,47.202194,14.369294,11.039405,-0.075590,0.303721,1.059554
48,0.400000,-62.633121,6.977424,4.604465,-0.057270,-0.023920,1.024910,47.072727,14.315818,10.934377,-0.076779,0.305105,1.059665
