,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_bluewhite,diabolo_green:Marker1,diabolo_green:Marker1,diabolo_green:Marker1,diabolo_green:Marker2,diabolo_green:Marker2,diabolo_green:Marker2,diabolo_green:Marker3,diabolo_green:Marker3,diabolo_green:Marker3
,,"F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","F8108D4B772D11EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","81496661773911EAC7808BD7B5C2AB81","81496661773911EAC7808BD7B5C2AB81","81496661773911EAC7808BD7B5C2AB81","81496661773911EAC7808BD7B5C2AB81","81496661773911EAC7808BD7B5C2AB81","81496661773911EAC7808BD7B5C2AB81","81496661773911EAC7808BD7B5C2AB81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","E770B9D79E8C11EAC8808BD7B5C0AD81","C5200","C5200","C5200","C5220","C5220","C5220","C5210","C5210","C5210"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
10,0.083333,,,,,,,,,,,,,,,,,,,,,,0.669382,0.671252,0.234250,0.215580,-0.006700,0.044957,0.049182,,,,,,,,0.004934,0.043802,0.066945,-0.016205,0.044532,0.063430,-0.008835,0.046540,0.017091
11,0.091667,,,,,,,,,,,,,,,,,,,,,,0.669430,0.671191,0.234214,0.215662,-0.006697,0.044953,0.049183,,,,,,,,0.004938,0.043798,0.066946,-0.016206,0.044532,0.063434,-0.008828,0.046532,0.017092
12,0.100000,,,,,,,,,,,,,,,,,,,,,,0.669604,0.671054,0.234117,0.215652,-0.006695,0.044943,0.049183,,,,,,,,0.004943,0.043782,0.066943,-0.016203,0.044526,0.063432,-0.008831,0.046525,0.017096
13,0.108333,,,,,,,,,,,,,,,,,,,,,,0.669525,0.671144,0.234239,0.215486,-0.006700,0.044951,0.049186,,,,,,,,0.004939,0.043789,0.066945,-0.016206,0.044526,0.063435,-0.008838,0.046542,0.017103
14,0.116667,,,,,,,,,,,,,,,,,,,,,,0.669530,0.671111,0.234223,0.215593,-0.006701,0.044953,0.049188,,,,,,,,0.004937,0.043792,0.066951,-0.016209,0.044532,0.063434,-0.008836,0.046539,0.017100
15,0.125000,,,,,,,,,,,,,,,,,,,,,,0.669525,0.671150,0.234304,0.215396,-0.006699,0.044957,0.049184,,,,,,,,0.004943,0.043792,0.066943,-0.016206,0.044528,0.063430,-0.008840,0.046554,0.017101
16,0.133333,,,,,,,,,,,,,,,,,,,,,,0.669458,0.671178,0.234245,0.215583,-0.006696,0.044950,0.049183,,,,,,,,0.004941,0.043792,0.066945,-0.016204,0.044527,0.063429,-0.008830,0.046534,0.017096
17,0.141667,,,,,,,,,,,,,,,,,,,,,,0.669827,0.670838,0.234019,0.215740,-0.006699,0.044964,0.049185,,,,,,,,0.004943,0.043796,0.066945,-0.016214,0.044555,0.063437,-0.008834,0.046545,0.017096
18,0.150000,,,,,,,,,,,,,,,,,,,,,,0.669563,0.671108,0.234204,0.215519,-0.006697,0.044955,0.049181,,,,,,,,0.004945,0.043792,0.066940,-0.016204,0.044531,0.063427,-0.008835,0.046544,0.017099
19,0.158333,,,,,,,,,,,,,,,,,,,,,,0.669578,0.671089,0.234281,0.215447,-0.006698,0.044952,0.049182,,,,,,,,0.004942,0.043786,0.066939,-0.016207,0.044526,0.063434,-0.008835,0.046548,0.017096
20,0.166667,,,,,,,,,,,,,,,,,,,,,,0.669484,0.671167,0.234199,0.215588,-0.006699,0.044956,0.049183,,,,,,,,0.004939,0.043799,0.066942,-0.016207,0.044534,0.063432,-0.008834,0.046539,0.017096
21,0.175000,,,,,,,,,,,,,,,,,,,,,,0.669687,0.670969,0.234045,0.215740,-0.006694,0.044947,0.049184,,,,,,,,0.004945,0.043785,0.066943,-0.016206,0.044535,0.063436,-0.008828,0.046524,0.017095
22,0.183333,,,,,,,,,,,,,,,,,,,,,,0.669649,0.671028,0.234158,0.215550,-0.006692,0.044943,0.049183,,,,,,,,0.004953,0.043778,0.066943,-0.016204,0.044523,0.063431,-0.008831,0.046532,0.017100
23,0.191667,,,,,,,,,,,,,,,,,,,,,,0.669441,0.671222,0.234202,0.215543,-0.006693,0.044939,0.049181,,,,,,,,0.004946,0.043783,0.066937,-0.016202,0.044515,0.063434,-0.008829,0.046523,0.017095
24,0.200000,,,,,,,,,,,,,,,,,,,,,,0.669714,0.670950,0.234058,0.215701,-0.006696,0.044943,0.049180,,,,,,,,0.004944,0.043779,0.066941,-0.016206,0.044531,0.063432,-0.008832,0.046524,0.017087
