t_from_prediction_start,error
0.2,0.0486266178556
0.4,None
0.6,0.210663386313
0.8,0.130450362056
1.0,0.13331091256
1.2,0.233699052572
1.4,0.491168408109
1.6,None
1.8,None
2.0,2.63972049613
0.2,0.0601333390326
0.4,0.145097826084
0.6,0.116363152427
0.8,None
1.0,0.195273732329
1.2,0.186586246203
1.4,0.269391470748
1.6,0.369449576127
1.8,0.281864728704
2.0,0.0298151900167
0.2,0.0563206194855
0.4,0.185729923373
0.6,0.239870183992
0.8,None
1.0,0.120648650966
1.2,0.264547706802
1.4,0.470346271709
1.6,0.585310916225
1.8,0.382545930129
2.0,0.121719615769
0.2,0.0224619857585
0.4,None
0.6,0.223762791339
0.8,0.129868953351
1.0,0.151932351835
1.2,0.20411873953
1.4,0.209065315303
1.6,0.117270247719
1.8,None
2.0,0.132369882762
0.2,None
0.4,0.0637070092053
0.6,0.0378595161934
0.8,0.0774810861566
1.0,0.178028000918
1.2,0.18390458478
1.4,0.0522156876813
1.6,None
1.8,0.250994732826
2.0,0.120499221864
0.2,0.0237056902347
0.4,0.100682488613
0.6,0.180662844245
0.8,0.0611010716562
1.0,0.169513475745
1.2,0.247565716809
1.4,0.139839408475
1.6,0.133580485405
1.8,0.217364580498
2.0,0.231353244113
0.2,0.034226068119
0.4,0.0572537051335
0.6,0.0367553013862
0.8,0.0219868771721
1.0,0.0835040833642
1.2,0.0806564369436
1.4,0.171125392321
1.6,0.171546488133
1.8,0.107752514304
2.0,0.0222615012875
0.2,0.0204736633331
0.4,0.0206337969291
0.6,0.0254867671964
0.8,0.0557463457304
1.0,0.0314245856755
1.2,0.010671790988
1.4,0.0153358255717
1.6,0.016067008397
1.8,0.0281217413638
2.0,0.0703240879766
0.2,0.0161801232235
0.4,0.0274485135989
0.6,0.062718937623
0.8,0.0934789622893
1.0,None
1.2,0.0846342334958
1.4,0.0628275681126
1.6,0.0309657163972
1.8,0.0320261130454
2.0,0.0438060680872
0.2,0.0172950366451
0.4,0.0339899392849
0.6,0.0317571161297
0.8,0.0194855602659
1.0,0.0213545987712
1.2,0.0221014552378
1.4,0.0409897690245
1.6,0.0224552997874
1.8,0.0156133861137
2.0,None
0.2,0.0116047408779
0.4,None
0.6,0.0411866248525
0.8,0.0524308634602
1.0,0.0595007900975
1.2,None
1.4,0.0547855544715
1.6,0.0816241398138
1.8,0.0884925067214
2.0,0.0624113837549
0.2,0.025437053736
0.4,0.0481118163953
0.6,0.0681025611326
0.8,0.0678662736874
1.0,0.0576336007621
1.2,0.0296253281813
1.4,0.0105852656716
1.6,0.032638740245
1.8,0.0238750086075
2.0,0.0694828724891
0.2,0.0214851049747
0.4,0.0676894329329
0.6,0.216324942333
0.8,0.286189695519
1.0,0.215841478296
1.2,0.0474781770724
1.4,0.145300895868
1.6,0.271760690728
1.8,0.45017536236
2.0,0.582741948085
0.2,0.0266396596834
0.4,0.0509448749314
0.6,0.123483475502
0.8,0.17739509911
1.0,0.0736498252836
1.2,0.130288744369
1.4,0.203950437696
1.6,0.104914101923
1.8,0.0915360400052
2.0,0.225245024448
0.2,0.0377040463833
0.4,0.100167670969
0.6,0.0709055865757
0.8,0.0880894028239
1.0,0.137197091601
1.2,0.146457625921
1.4,None
1.6,None
1.8,0.101814455078
2.0,0.0293492529646
0.2,0.0210521300218
0.4,0.0540586788487
0.6,0.156091010497
0.8,0.268429290404
1.0,0.168182257734
1.2,0.103027551448
1.4,0.152258759211
1.6,0.122358125407
1.8,0.0259407160351
2.0,0.192380560561
0.2,0.207561276547
0.4,0.227968616983
0.6,None
0.8,0.0658405007708
1.0,0.0734866104498
1.2,0.12184718109
1.4,0.225749892603
1.6,0.265019803079
1.8,0.123160334659
2.0,0.0466396217772
0.2,None
0.4,0.178791272444
0.6,0.147261252343
0.8,0.0869225460639
1.0,0.111209417647
1.2,0.21269485431
1.4,0.230882449892
1.6,0.228545840897
1.8,0.0693810961986
2.0,0.106548252538
0.2,0.0251730165428
0.4,0.121920327363
0.6,0.15727413942
0.8,0.0566251110663
1.0,None
1.2,0.193213531718
1.4,0.115892764557
1.6,0.110962886779
1.8,0.149269266038
2.0,0.12481042325
0.2,None
0.4,0.0237682909962
0.6,0.0264803094601
0.8,0.0854667910727
1.0,0.0574471584886
1.2,0.0576107107656
1.4,0.108974672188
1.6,0.0515537806082
1.8,0.026759569165
2.0,0.0449704200322
0.2,0.0925270914999
0.4,0.139697742845
0.6,0.178079963361
0.8,0.0912781834647
1.0,0.050523842162
1.2,0.143001664695
1.4,0.0904787112638
1.6,0.0358525206251
1.8,0.0796267036653
2.0,0.112463072721
0.2,0.0319063489722
0.4,0.099749286078
0.6,0.1454517172
0.8,0.0924073264193
1.0,0.0621505264513
1.2,0.162678224092
1.4,0.21315127065
1.6,None
1.8,0.0737559099365
2.0,0.0670423504391
0.2,0.0190576280618
0.4,0.0367161684159
0.6,0.063039675092
0.8,0.0891054873297
1.0,0.100073939769
1.2,0.0964363789198
1.4,0.0696215813614
1.6,0.0239749686644
1.8,0.0296369228518
2.0,0.0218250915044
0.2,0.0206564153125
0.4,0.051816402412
0.6,0.229464430713
0.8,0.372723963331
1.0,0.331255547079
1.2,0.107838742615
1.4,0.236771605189
1.6,0.539242913988
1.8,0.72807630981
2.0,0.338625095567
0.2,0.019362218039
0.4,0.0576894095627
0.6,0.166896654991
0.8,0.278649133846
1.0,0.242641977506
1.2,0.074143156975
1.4,0.134464931561
1.6,0.243728381511
1.8,0.334185355372
2.0,0.1566078061
