t_from_prediction_start,error
0.2,0.0842248359475
0.4,None
0.6,0.567015297197
0.8,0.103649147751
1.0,0.622628357505
1.2,1.22507177457
1.4,1.33091990034
1.6,None
1.8,None
2.0,0.475344920215
0.2,0.110799606707
0.4,0.770498363256
0.6,0.936818958264
0.8,None
1.0,1.03613983606
1.2,1.88037534733
1.4,2.68685317604
1.6,3.98667021431
1.8,5.82900287489
2.0,7.1252628959
0.2,0.385226041546
0.4,0.751075321687
0.6,0.167989396945
0.8,None
1.0,0.786659851769
1.2,0.396253004825
1.4,0.540016100446
1.6,0.813046581316
1.8,0.469891679254
2.0,0.104184663595
0.2,0.254587013532
0.4,None
0.6,0.434914842187
0.8,0.157544716997
1.0,0.73365313779
1.2,0.663321202206
1.4,0.682662012336
1.6,0.442258179403
1.8,None
2.0,0.114906561422
0.2,None
0.4,0.656500102041
0.6,0.361329405556
0.8,0.824933804313
1.0,0.570998068701
1.2,1.67702455799
1.4,2.05526990742
1.6,None
1.8,3.17325782293
2.0,4.37586780751
0.2,0.426023866538
0.4,1.36684535879
0.6,0.95209385123
0.8,1.21083481107
1.0,1.31214316675
1.2,1.83446093832
1.4,2.73525630883
1.6,3.87581878366
1.8,5.38772853053
2.0,7.41699206345
0.2,0.235043222358
0.4,0.42065174336
0.6,0.113133860287
0.8,0.17693912173
1.0,0.146976174852
1.2,0.774054743662
1.4,0.943803794768
1.6,1.52552167586
1.8,1.9164091976
2.0,2.47810023514
0.2,0.175241240791
0.4,0.199994722854
0.6,0.223074553748
0.8,0.173589770487
1.0,0.150898692943
1.2,0.226233424307
1.4,0.13511014089
1.6,0.256050177921
1.8,0.797614804837
2.0,0.0882915783348
0.2,1.00848457684
0.4,1.40496577554
0.6,1.73083103015
0.8,2.88625998493
1.0,None
1.2,4.87288641793
1.4,6.48411533514
1.6,8.37935906918
1.8,10.7104915822
2.0,14.0318591701
0.2,0.554229978734
0.4,0.166859683841
0.6,0.112290665193
0.8,0.290459169133
1.0,0.0989491304201
1.2,0.174166121333
1.4,0.501307722583
1.6,0.201544844374
1.8,0.0977908417287
2.0,None
0.2,0.406550312955
0.4,None
0.6,1.75513700128
0.8,2.46811866416
1.0,3.20590429812
1.2,None
1.4,4.52849033268
1.6,5.92410897104
1.8,7.90878620171
2.0,10.7090420778
0.2,0.218016891976
0.4,0.14744248749
0.6,0.175361024081
0.8,0.106428689203
1.0,0.718545932013
1.2,0.157928275814
1.4,0.933730596502
1.6,0.101424942117
1.8,0.219387498377
2.0,0.230189287457
0.2,0.260069170679
0.4,0.558624063541
0.6,1.59115319716
0.8,2.85153709913
1.0,3.38488020099
1.2,4.06923941512
1.4,5.66575387728
1.6,7.5280731022
1.8,9.90911614869
2.0,13.4166423044
0.2,0.219436259665
0.4,1.04813453892
0.6,1.75273978234
0.8,3.29317640995
1.0,4.15476755091
1.2,5.11110867589
1.4,6.74266240893
1.6,8.89391726851
1.8,11.6370784297
2.0,15.2824038675
0.2,0.143621102749
0.4,0.214880695153
0.6,0.203802402275
0.8,0.643714779446
1.0,0.977398564161
1.2,1.3385739209
1.4,None
1.6,None
1.8,3.03319456859
2.0,4.25444731724
0.2,0.225638537597
0.4,0.732970949359
0.6,0.662861218005
0.8,1.33734465096
1.0,2.16350135525
1.2,2.33286244077
1.4,2.65364352629
1.6,3.89577942737
1.8,5.29673277207
2.0,7.32592849209
0.2,0.548817696935
0.4,0.199207471338
0.6,None
0.8,0.805239255452
1.0,0.626647333179
1.2,0.441039217565
1.4,1.13210074524
1.6,1.10294437847
1.8,1.74959341615
2.0,1.86884908022
0.2,None
0.4,0.279220525693
0.6,0.249392687776
0.8,0.150601423178
1.0,0.539821734938
1.2,1.37350094584
1.4,1.43733258667
1.6,1.15029461658
1.8,1.18480769788
2.0,1.7730154089
0.2,0.342936494075
0.4,1.38972997358
0.6,1.66059599785
0.8,1.38042857173
1.0,None
1.2,1.86151497013
1.4,2.71964065544
1.6,4.0525337679
1.8,5.80868707817
2.0,7.6195142753
0.2,None
0.4,1.28069831318
0.6,1.82537001145
0.8,3.22259362981
1.0,4.02666013093
1.2,5.01566346245
1.4,7.09226263549
1.6,8.8429004682
1.8,11.3111242007
2.0,14.7346675569
0.2,0.0967708986941
0.4,0.186188954135
0.6,0.0634448852226
0.8,0.153055430359
1.0,0.102570981749
1.2,0.383580017514
1.4,0.376159273461
1.6,0.0723408093404
1.8,0.197125706454
2.0,0.167812199547
0.2,0.768771162804
0.4,1.18789399554
0.6,1.54665022099
0.8,2.30633175847
1.0,3.17294299945
1.2,4.20128424654
1.4,5.60415828734
1.6,None
1.8,9.52352447499
2.0,12.0532391657
0.2,0.0985696570081
0.4,0.292386389823
0.6,0.202401030495
0.8,0.187753367666
1.0,0.750893277872
1.2,0.322893884013
1.4,0.171770534776
1.6,0.14039058199
1.8,0.29827632302
2.0,0.162122120912
0.2,0.918340623632
0.4,1.59943602551
0.6,3.26702663748
0.8,3.91163544333
1.0,4.51375376598
1.2,6.09467104528
1.4,8.32539674789
1.6,10.8893394078
1.8,14.4224587658
2.0,18.5640230314
0.2,1.26149714883
0.4,1.63406012357
0.6,3.05693176044
0.8,4.19699481693
1.0,4.87246962591
1.2,6.34355330022
1.4,8.66561405025
1.6,11.2507180893
1.8,14.7160601931
2.0,19.6187374732
