Format Version,1.22,Take Name,Take 2020-06-18 diabolo_red_random_felix_3,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 04:27:00 +0900,Total Frames in Take,281546,Total Exported Frames,460,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker
65112,542.600000,,,,,,,,,,,,,,,,,,,,-0.642456,-0.705844,0.187304,0.232276,-0.104158,0.254632,0.525972,-0.064417,0.259081,0.507048,-0.111835,0.256933,0.493717,-0.136223,0.247881,0.577151,0.376605,0.327883,0.730130,0.466446,-0.118699,0.032598,1.197335,-0.156976,0.027156,1.211691,-0.122251,0.048504,1.143533,-0.098097,0.034374,1.192732,-0.097473,0.020357,1.241383
65113,542.608333,,,,,,,,,,,,,,,,,,,,-0.675657,-0.698909,-0.191061,-0.136048,-0.090136,0.253695,0.530772,-0.054230,0.253856,0.556618,-0.065458,0.256425,0.508679,-0.150722,0.250804,0.527019,0.373859,0.329446,0.731980,0.464650,-0.119160,0.033155,1.196687,-0.157435,0.027465,1.210950,-0.122679,0.048913,1.142839,-0.098558,0.035072,1.192138,-0.097967,0.021171,1.240822
65114,542.616667,,,,,,,,,,,,,,,,,,,,-0.519332,-0.496753,-0.517449,-0.464519,-0.087675,0.251223,0.545837,-0.093022,0.247855,0.589625,-0.056326,0.251280,0.556876,-0.113676,0.254533,0.491010,0.372221,0.330733,0.733242,0.463058,-0.119328,0.033659,1.195972,-0.157587,0.027777,1.210201,-0.122875,0.049323,1.142098,-0.098732,0.035684,1.191442,-0.098118,0.021853,1.240146
65115,542.625000,,,,,,,,,,,,,,,,,,,,-0.218988,-0.155049,-0.697186,-0.664783,-0.099821,0.248588,0.555764,-0.140889,0.246255,0.572051,-0.094383,0.245429,0.588399,-0.064190,0.254080,0.506843,0.371114,0.332691,0.732840,0.463182,-0.119092,0.034012,1.195238,-0.157335,0.028127,1.209508,-0.122686,0.049440,1.141300,-0.098502,0.036051,1.190691,-0.097845,0.022428,1.239453
65116,542.633333,,,,,,,,,,,,,,,,,,,,0.143306,0.227971,-0.683278,-0.678692,-0.114413,0.247330,0.550402,-0.148612,0.249361,0.522410,-0.140486,0.243998,0.570742,-0.054141,0.248631,0.558055,0.370989,0.333314,0.732927,0.462695,-0.118663,0.034248,1.194714,-0.156889,0.028321,1.209013,-0.122313,0.049639,1.140769,-0.098078,0.036312,1.190153,-0.097371,0.022721,1.238923
65117,542.641667,,,,,,,,,,,,,,,,,,,,0.465260,0.548054,-0.478442,-0.504245,-0.116765,0.247360,0.535625,-0.108696,0.252638,0.492447,-0.147321,0.246958,0.522557,-0.094278,0.242483,0.591870,0.369978,0.333773,0.733162,0.462802,-0.118135,0.034272,1.194398,-0.156374,0.028325,1.208655,-0.121732,0.049576,1.140424,-0.097547,0.036351,1.189860,-0.096889,0.022834,1.238651
65118,542.650000,,,,,,,,,,,,,,,,,,,,0.657826,0.715159,-0.141213,-0.189397,-0.104976,0.247457,0.526985,-0.063056,0.251392,0.513401,-0.108373,0.250049,0.494025,-0.143499,0.240930,0.573529,0.367933,0.332373,0.734286,0.463656,-0.117544,0.034249,1.194311,-0.155862,0.028294,1.208349,-0.120835,0.049568,1.140322,-0.096930,0.036331,1.189891,-0.096549,0.022802,1.238682
65119,542.658333,,,,,,,,,,,,,,,,,,,,0.667483,0.684014,0.234584,0.177659,-0.091704,0.246192,0.533627,-0.059280,0.245690,0.563721,-0.064446,0.248756,0.514786,-0.151388,0.244131,0.522373,0.364273,0.328973,0.736459,0.465521,-0.116899,0.034096,1.194458,-0.155380,0.028149,1.208050,-0.119564,0.049508,1.140461,-0.096235,0.036170,1.190276,-0.096419,0.022558,1.239046
65120,542.666667,,,,,,,,,,,,,,,,,,,,0.491703,0.463864,0.547248,0.493536,-0.091126,0.243504,0.548808,-0.101664,0.239869,0.591622,-0.061310,0.243183,0.563489,-0.110403,0.247461,0.491312,0.358544,0.323672,0.740030,0.468016,-0.116245,0.033889,1.194850,-0.154961,0.027919,1.207744,-0.117951,0.049464,1.140861,-0.095509,0.035966,1.191039,-0.096558,0.022208,1.239757
65121,542.675000,,,,,,,,,,,,,,,,,,,,0.181774,0.114372,0.706454,0.674388,-0.104274,0.240895,0.557045,-0.146933,0.238787,0.568580,-0.102576,0.237515,0.590065,-0.063312,0.246381,0.512491,0.350723,0.316983,0.741913,0.475478,-0.115619,0.033412,1.195405,-0.154685,0.027812,1.207373,-0.115888,0.048912,1.141368,-0.094780,0.035296,1.192090,-0.097122,0.021629,1.240788
65122,542.683333,,,,,,,,,,,,,,,,,,,,-0.179405,-0.264912,0.671633,0.668240,-0.117980,0.239746,0.549972,-0.148959,0.242131,0.518477,-0.146110,0.236543,0.567379,-0.058871,0.240564,0.564059,0.339763,0.309624,0.745561,0.482526,-0.114998,0.033266,1.195758,-0.154439,0.027894,1.206549,-0.113550,0.048647,1.141706,-0.094059,0.035034,1.193072,-0.097946,0.021487,1.241704
65123,542.691667,,,,,,,,,,,,,,,,,,,,-0.491263,-0.571132,0.451261,0.478364,-0.118516,0.239740,0.535033,-0.106048,0.244986,0.492910,-0.147587,0.239650,0.518925,-0.101913,0.234584,0.593263,0.326614,0.301931,0.750559,0.488695,-0.114422,0.033193,1.196253,-0.154217,0.027902,1.205699,-0.111101,0.048446,1.142247,-0.093401,0.034925,1.194281,-0.098971,0.021498,1.242783
65124,542.700000,,,,,,,,,,,,,,,,,,,,-0.667442,-0.720042,0.108121,0.156110,-0.105689,0.239707,0.527717,-0.062624,0.243212,0.518209,-0.105892,0.242360,0.494588,-0.148551,0.233550,0.570354,0.312402,0.292719,0.756722,0.494057,-0.114031,0.033077,1.197012,-0.154149,0.027764,1.204955,-0.108690,0.048341,1.143172,-0.092951,0.034821,1.195833,-0.100333,0.021383,1.244089
65125,542.708333,,,,,,,,,,,,,,,,,,,,-0.659993,-0.671631,-0.264955,-0.207654,-0.092943,0.238294,0.535768,-0.063345,0.237349,0.568637,-0.064085,0.240671,0.519451,-0.151397,0.236863,0.519214,0.297697,0.282432,0.763493,0.498685,-0.113843,0.032941,1.198054,-0.154233,0.027537,1.204401,-0.106417,0.048330,1.144497,-0.092737,0.034726,1.197708,-0.101987,0.021171,1.245609
65126,542.716667,,,,,,,,,,,,,,,,,,,,-0.471913,-0.438952,-0.566283,-0.513754,-0.093608,0.235426,0.551246,-0.107724,0.231674,0.593007,-0.065130,0.234740,0.568367,-0.107969,0.239863,0.492365,0.284096,0.271873,0.769590,0.503096,-0.113782,0.032695,1.199317,-0.154377,0.027242,1.204130,-0.104370,0.048270,1.146127,-0.092679,0.034495,1.199767,-0.103704,0.020771,1.247242
65127,542.725000,-0.698984,-0.395118,-0.555003,-0.217429,-0.043538,0.057544,1.228181,-0.062378,0.061924,1.225141,-0.063741,0.080054,1.195417,-0.003223,0.056362,1.219568,-0.044809,0.031837,1.272599,-0.157007,-0.084622,-0.710771,-0.680435,-0.107333,0.232820,0.558697,-0.150777,0.230978,0.566853,-0.108243,0.229192,0.591721,-0.062979,0.238289,0.517516,0.272299,0.261607,0.775357,0.506199,-0.113746,0.032467,1.200788,-0.154469,0.026927,1.204212,-0.102586,0.048340,1.148026,-0.092672,0.034297,1.201954,-0.105255,0.020303,1.248960
65128,542.733333,-0.689570,-0.385224,-0.567489,-0.232490,-0.044325,0.057705,1.227598,-0.062933,0.062401,1.223713,-0.062662,0.080412,1.193887,-0.003697,0.055774,1.220777,-0.048008,0.032232,1.272017,0.202051,0.290454,-0.662374,-0.660357,-0.120420,0.231737,0.550891,-0.149039,0.234459,0.517263,-0.149745,0.228566,0.566208,-0.062476,0.232185,0.569202,0.265048,0.252243,0.779759,0.508034,-0.113632,0.032229,1.202286,-0.154424,0.026652,1.204681,-0.101211,0.048552,1.149945,-0.092593,0.034054,1.203974,-0.106298,0.019659,1.250544
65129,542.741667,,,,,,,,,,,,,,,,,,,,0.506009,0.586618,-0.432967,-0.460841,-0.119871,0.231775,0.536143,-0.104630,0.237124,0.494956,-0.147815,0.231840,0.518150,-0.107169,0.226362,0.595324,0.263240,0.246572,0.783361,0.506214,-0.113389,0.031981,1.203909,-0.154177,0.026203,1.205858,-0.100542,0.048870,1.151851,-0.092376,0.033880,1.205817,-0.106461,0.018970,1.252110
65130,542.750000,,,,,,,,,,,,,,,,,,,,0.672098,0.722792,-0.086893,-0.135302,-0.106490,0.231609,0.529779,-0.062913,0.234905,0.522885,-0.104686,0.234321,0.496704,-0.151870,0.225599,0.569748,0.266535,0.244734,0.785605,0.501886,-0.112819,0.031846,1.205500,-0.153560,0.025786,1.207565,-0.100305,0.049316,1.153553,-0.091811,0.033863,1.207337,-0.105602,0.018419,1.253544
