,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","C6B60","C6B60","C6B60","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.166667,0.955460,0.039037,-0.010587,-0.292337,-0.005960,0.007034,0.047310,-0.002535,-0.033084,0.028734,-0.006499,0.014536,0.014658,-0.008848,0.039656,0.098531,,,,,,
21,0.175000,0.955531,0.038998,-0.010526,-0.292111,-0.005964,0.007058,0.047306,-0.002541,-0.033071,0.028749,-0.006498,0.014546,0.014656,-0.008853,0.039704,0.098508,,,,,,
22,0.183333,0.955600,0.038998,-0.010614,-0.291881,-0.005964,0.007079,0.047302,-0.002542,-0.033061,0.028762,-0.006504,0.014551,0.014649,-0.008848,0.039751,0.098489,,,,,,
23,0.191667,0.955667,0.039007,-0.010582,-0.291663,-0.005966,0.007100,0.047299,-0.002541,-0.033049,0.028778,-0.006502,0.014558,0.014642,-0.008854,0.039795,0.098472,,,,,,
24,0.200000,0.955729,0.038976,-0.010596,-0.291463,-0.005969,0.007121,0.047297,-0.002547,-0.033034,0.028793,-0.006506,0.014566,0.014636,-0.008854,0.039839,0.098457,,,,,,
25,0.208333,0.955790,0.039005,-0.010541,-0.291263,-0.005970,0.007140,0.047299,-0.002544,-0.033023,0.028811,-0.006503,0.014570,0.014636,-0.008862,0.039879,0.098445,,,,,,
26,0.216667,0.955840,0.038972,-0.010525,-0.291101,-0.005973,0.007159,0.047298,-0.002550,-0.033009,0.028822,-0.006504,0.014576,0.014631,-0.008864,0.039917,0.098434,,,,,,
27,0.225000,0.955879,0.039013,-0.010498,-0.290971,-0.005976,0.007171,0.047297,-0.002549,-0.033001,0.028833,-0.006505,0.014578,0.014630,-0.008874,0.039941,0.098424,,,,,,
28,0.233333,0.955913,0.039012,-0.010538,-0.290857,-0.005976,0.007179,0.047298,-0.002550,-0.032998,0.028847,-0.006507,0.014581,0.014623,-0.008871,0.039959,0.098417,,,,,,
29,0.241667,0.955932,0.038986,-0.010520,-0.290799,-0.005978,0.007187,0.047294,-0.002553,-0.032991,0.028846,-0.006508,0.014584,0.014619,-0.008872,0.039975,0.098410,,,,,,
30,0.250000,0.955955,0.038939,-0.010515,-0.290727,-0.005976,0.007195,0.047293,-0.002556,-0.032989,0.028849,-0.006506,0.014587,0.014621,-0.008867,0.039991,0.098401,,,,,,
31,0.258333,0.955989,0.038925,-0.010578,-0.290618,-0.005973,0.007204,0.047287,-0.002555,-0.032983,0.028852,-0.006507,0.014589,0.014617,-0.008858,0.040012,0.098386,,,,,,
